"author_name","Period_3_2021_2025","Period_1_2012_2016","Period_2_2016_2021","total_commits"
"hdid",0,3,1,4
"helinb",0,4,0,4
"jwstaceyOvO",4,0,0,4
"lcdtyph",0,0,4,4
"lk29",4,0,0,4
"mkmark",4,0,0,4
"neatgz",0,0,4,4
"nullptr",0,0,4,4
"ocformula",4,0,0,4
"phlinhng",1,0,3,4
"pover0k",4,0,0,4
"pulsarice",4,0,0,4
"ricuhkaen",0,0,4,4
"ryuunosankan",0,0,4,4
"sdjdd",0,0,4,4
"spyophobia",3,0,1,4
"stickh",0,0,4,4
"tleydxdy",0,0,4,4
"wuxiaolong",0,0,4,4
"xchacha20-poly1305",4,0,0,4
"y0umu",0,0,4,4
"yubanmeiqin9048",4,0,0,4
"yueisme",4,0,0,4
"yyxida",0,0,4,4
"zhou0",0,0,4,4
"汪心禾",0,0,4,4
"风扇滑翔翼",4,0,0,4
"57a4c324e742",3,0,0,3
"Aleksandr Krotov",3,0,0,3
"Andreas Auernhammer",0,2,1,3
"BennyYip",0,0,3,3
"Bhoppi Chaw",2,0,1,3
"Bill Zhong",2,0,1,3
"ChellyL",3,0,0,3
"Chiya",0,0,3,3
"Cokebar Chi",0,0,3,3
"Daniel Lavrushin",3,0,0,3
"Eric Fu",0,0,3,3
"FH0",0,0,3,3
"Fabrice Fontaine",1,0,2,3
"Feng Yu",0,0,3,3
"Gabriel",2,0,1,3
"GhostFlying",0,1,2,3
"Han Chen",0,3,0,3
"Haozhe Xie",0,0,3,3
"Haruue Icymoon (usamimi-wsl)",3,0,0,3
"Ilya",0,3,0,3
"Jack Vincent",0,0,3,3
"Jamis Hoo",0,0,3,3
"John Hu",0,0,3,3
"JohnnySun",0,3,0,3
"Joshua Lund",0,3,0,3
"Kevin S",0,0,3,3
"Kevin Sanchez",0,0,3,3
"Kirill Motkov",0,0,3,3
"Li",0,0,3,3
"Lomik_XP",3,0,0,3
"Lsyx-Good",3,0,0,3
"Max Witten",0,0,3,3
"Maxim Galaganov",3,0,0,3
"Moe Poi ~",0,0,3,3
"Morlay",0,0,3,3
"OnqiauJliu",3,0,0,3
"Paul Joey Clark",0,0,3,3
"Prajwal Koirala",2,0,1,3
"Ptomerty",0,0,3,3
"RK",0,0,3,3
"Rallets",0,0,3,3
"Rammiah",3,0,0,3
"ReadmeCritic",0,3,0,3
"Register",0,0,3,3
"Rizwan",0,0,3,3
"Roman",3,0,0,3
"Sah Lee",0,0,3,3
"Sebastien DUPONCHEEL",0,0,3,3
"Shuai Zheng",3,0,0,3
"Silence Tai",0,0,3,3
"Snorlax",3,0,0,3
"TGSAN",0,0,3,3
"TnZzZHlp",3,0,0,3
"UICalculus",3,0,0,3
"Unknown",0,0,3,3
"V.E.O",0,0,3,3
"Xingyu Chen",0,1,2,3
"YandereAcg",0,0,3,3
"Yaspee",0,0,3,3
"Yicheng",0,3,0,3
"Yifeng (Ethan) Zou",0,0,3,3
"Yu Lu",0,3,0,3
"Yuwei Ba",3,0,0,3
"Zou Yong",0,0,3,3
"aipsel",0,3,0,3
"arthur",0,0,3,3
"bestv",0,0,3,3
"chenxiaoqino",0,3,0,3
"chshouyu",3,0,0,3
"cuckoo",0,2,1,3
"foreversam",3,0,0,3
"genzj",0,3,0,3
"hanwei",3,0,0,3
"hiddenSharp429",3,0,0,3
"honwen",1,0,2,3
"kabegoe",3,0,0,3
"karelrooted",3,0,0,3
"kookxiang",0,3,0,3
"ksqsf",0,0,3,3
"kunish",3,0,0,3
"lack006",0,0,3,3
"letsky192",3,0,0,3
"liuguoxu",0,0,3,3
"lixingcong",0,0,3,3
"moetayuko",3,0,0,3
"netcookies",0,3,0,3
"netroby",0,0,3,3
"oppressor1761",3,0,0,3
"ownhere",0,3,0,3
"pathC",3,0,0,3
"qifeng2233",3,0,0,3
"quininer",0,0,3,3
"quininer kel",0,0,3,3
"rampageX",0,1,2,3
"sHANJI",0,0,3,3
"shadowsocks69420",3,0,0,3
"sin_sin",0,3,0,3
"slurin",0,0,3,3
"ssoxer",0,0,3,3
"sunsysjp",0,0,3,3
"tlhc",0,3,0,3
"touamano",1,0,2,3
"tyuan",0,0,3,3
"was4444",0,0,3,3
"wwqgtxx",0,0,3,3
"xiazuojie",3,0,0,3
"xqdoo00o",0,0,3,3
"xuebaxi",0,0,3,3
"yanue",0,0,3,3
"yfw918",3,0,0,3
"young-zy",1,0,2,3
"zyzh0",3,0,0,3
"朱聖黎 (Zhu Sheng Li)",3,0,0,3
"柊 ゆり子",0,0,3,3
"王晨",0,0,3,3
"瓜瓜吖",3,0,0,3
"第七詝",3,0,0,3
"10people",0,2,0,2
"1sixth",2,0,0,2
"233abc",0,0,2,2
"52comfortable",2,0,0,2
"699ebe23",0,0,2,2
"ASUS laptop",0,0,2,2
"Abel Luck",0,0,2,2
"Alion",0,0,2,2
"Araragi Hokuto",0,0,2,2
"Asynchronous Interruption #0",0,1,1,2
"Aubrey Yang",2,0,0,2
"Baiyi ""Patrick"" Liao",0,0,2,2
"Billy Fu",2,0,0,2
"Bin Cheng",0,0,2,2
"Bohan Yang",0,0,2,2
"Bono Lv",2,0,0,2
"Bruce Wayne",0,0,2,2
"Buddha",2,0,0,2
"Chen Lei",0,1,1,2
"Chion Tang",0,2,0,2
"Chuei Kan",2,0,0,2
"CodeLingo Bot",0,0,2,2
"DMyachin",2,0,0,2
"DUPONCHEEL Sébastien",0,0,2,2
"Datong Sun",0,2,0,2
"Dean",2,0,0,2
"Dean Li",2,0,0,2
"DeepChirp",2,0,0,2
"Deleted User",0,0,2,2
"Dev54",2,0,0,2
"Dheminsgi",0,2,0,2
"Dijkstra",0,0,2,2
"EHfive",0,0,2,2
"Emerald-Z-Hy",2,0,0,2
"Eva Kane",0,1,1,2
"Evan Ren",0,0,2,2
"GHM",2,0,0,2
"Gondnat",0,0,2,2
"H2NCH2COOH",0,2,0,2
"HYec",0,0,2,2
"Hanqing",0,0,2,2
"Hao0920",2,0,0,2
"Hauke Mehrtens",0,0,2,2
"Heiybb",0,0,2,2
"Hirbod Behnam",0,0,2,2
"Hork",2,0,0,2
"Hyy2001X",2,0,0,2
"IbarakiKasen",0,0,2,2
"Icarus Radio",0,0,2,2
"Isaac",0,0,2,2
"JH2628",0,0,2,2
"JS Deck",0,0,2,2
"JacobChang",2,0,0,2
"Jason.li",0,0,2,2
"Jenkins CI Bot",0,2,0,2
"Jerry",0,0,2,2
"Ji Ma",2,0,0,2
"Jiew-KueJwiaeng",2,0,0,2
"Jinjing Wang",0,2,0,2
"Journalist-HK",2,0,0,2
"Junfu Xiang",0,0,2,2
"K.H. Lee",0,0,2,2
"Kaede Akino",2,0,0,2
"KallyDev",2,0,0,2
"Kazetoyuki",0,0,2,2
"Kevin CHEN",0,0,2,2
"Kevin Schwifty",0,0,2,2
"Kexy Biscuit",0,0,2,2
"Kirill Fertikov",2,0,0,2
"KujouRinka",2,0,0,2
"Kyle Li",2,0,0,2
"LIZONGZE",0,0,2,2
"Lanyuue",2,0,0,2
"Leung Yau Ming",0,0,2,2
"Liu Dongmiao",2,0,0,2
"Liu Qishuai",0,2,0,2
"Liu VRan",0,2,0,2
"Lonnie Liu",0,0,2,2
"Love4Taylor",0,0,2,2
"Machtergreifung",2,0,0,2
"Malik Al",2,0,0,2
"Max Prokhorov",0,0,2,2
"Micro Xina",2,0,0,2
"Mingye Wang",0,1,1,2
"Misanalia",2,0,0,2
"Mohammad Abolnejadian",2,0,0,2
"Moody",2,0,0,2
"Mozi",0,0,2,2
"Myoufer",2,0,0,2
"N1klaz",2,0,0,2
"NNdroid",2,0,0,2
"NeverBehave",2,0,0,2
"NextAbyss",2,0,0,2
"NicoNode Official",0,0,2,2
"Noisyfox He",0,2,0,2
"Nomad Chen",2,0,0,2
"NowICFire",2,0,0,2
"OpportunityLiu",0,0,2,2
"Ovear",2,0,0,2
"Passer",0,0,2,2
"Patrick Li",0,1,1,2
"Patrick Robertson",0,2,0,2
"Qusic",2,0,0,2
"RekonChan",0,0,2,2
"Rudy Yang",0,0,2,2
"RyanHui",0,0,2,2
"SakuraSakuraSakuraChan",2,0,0,2
"Sammi Mak",2,0,0,2
"Seena Fallah",2,0,0,2
"Seronia",2,0,0,2
"Seyed Mostafa Meshkati",0,0,2,2
"SharerMax",0,0,2,2
"Sharuru",0,2,0,2
"Sherlock Holo",0,0,2,2
"ShiinaRinne",2,0,0,2
"Shun Sakai",2,0,0,2
"Sil free",2,0,0,2
"Simon Dong",0,2,0,2
"Soul Dark",0,0,2,2
"SquallATF",2,0,0,2
"Steven Huang",1,0,1,2
"TAKO",2,0,0,2
"Tatsuya Kawano",2,0,0,2
"Terry Chan",0,0,2,2
"The Gitter Badger",0,2,0,2
"Tom Ryan",2,0,0,2
"Tomasz Korzeniowski",0,2,0,2
"Tommy Jerry Mairo",0,0,2,2
"Tsanie Lily",2,0,0,2
"Tunghsiao Liu",0,1,1,2
"Ubuntu",0,0,2,2
"V2Ray Community",0,0,2,2
"Vento Valery",0,0,2,2
"Vinicius Fortuna",0,0,2,2
"Weihan Lin",0,0,2,2
"Weizhe Sun",0,0,2,2
"Wi1dcard",0,0,2,2
"Wissen XUE",0,0,2,2
"X. Jason Lyu",0,0,2,2
"Xiaoding Liu",0,0,2,2
"Xu Tianyang",0,0,2,2
"Xuesong Peng",2,0,0,2
"Yibai Meng",0,0,2,2
"Yifei Zhou",0,2,0,2
"Yingyu Cheng",0,0,2,2
"York Xiang",0,2,0,2
"Yousong Zhou",0,0,2,2
"Yt Gu",0,0,2,2
"Yushum",2,0,0,2
"Zaicheng Qi",0,2,0,2
"Zane",1,0,1,2
"Zeehan2005",2,0,0,2
"Zhang San",2,0,0,2
"Zhang Sen",0,2,0,2
"Zhang Yi",0,2,0,2
"Zhang Zhiyi",0,0,2,2
"Zhonghao Xie",0,0,2,2
"Zimo Li",2,0,0,2
"^_^void",0,0,2,2
"a-wing",0,0,2,2
"aaaaa",0,0,2,2
